"gauge_code","nome","estado","lat","long","time_step","network","n_years_zip"
"15200010","Costa Marques","RO",-12.4267,-64.4253,15,"Telemetria",2
"15248010","Guajará-mirim","RO",-10.9175,-65.0433,15,"Telemetria",2
"15250001","Guajará-mirim","RO",-10.792463,-65.347057,15,"Telemetria",2
"15318000","Nova Mamore","RO",-10.3475,-65.3569,15,"Telemetria",9
"15320002","Porto Velho","RO",-9.7053,-65.3667,15,"Telemetria",6
"15324000","Plácido de Castro","AC",-10.3378,-67.1831,15,"Telemetria",4
"15324500","Porto Velho","RO",-9.8936,-66.6186,15,"Telemetria",4
"15326000","Porto Velho","RO",-9.7847,-65.5275,15,"Telemetria",3
"15335000","Porto Velho","RO",-9.6175,-64.9331,15,"Telemetria",3
"15340600","Porto Velho","RO",-9.2486,-64.6264,15,"Telemetria",5
"15341000","Porto Velho","RO",-9.2028,-64.6086,15,"Telemetria",5
"15344000","Porto Velho","RO",-9.5011,-64.3817,15,"Telemetria",2
"15345900","Porto Velho","RO",-9.2617,-64.4014,15,"Telemetria",1
"15360000","Porto Velho","RO",-8.7967,-63.9583,15,"Telemetria",2
"15390000","Porto Velho","RO",-8.7481,-63.9158,15,"Telemetria",4
"15400000","Porto Velho","RO",-8.7483,-63.9169,15,"Telemetria",2
"15405000","Monte Negro","RO",-10.4719,-63.2594,30,"Telemetria",3
"15406000","Monte Negro","RO",-10.4375,-63.2358,30,"Telemetria",3
"15408600","Monte Negro","RO",-10.2303,-63.2311,60,"Telemetria",1
"15408700","Monte Negro","RO",-10.2056,-63.1114,60,"Telemetria",2
"15413000","Ariquemes","RO",-10.2542,-62.9894,30,"Telemetria",2
"15414000","Ariquemes","RO",-10.0831,-62.9975,60,"Telemetria",1
"15418000","Ariquemes","RO",-10.0183,-63.0622,30,"Telemetria",1
"15424000","Ariquemes","RO",-9.9347,-63.0756,30,"Telemetria",1
"15430000","Ariquemes","RO",-9.9256,-63.0714,15,"Telemetria",6
"15430900","Ariquemes","RO",-9.8867,-62.9847,60,"Telemetria",1
"15431900","Alto Paraíso","RO",-9.7603,-63.2881,60,"Telemetria",2
"15444900","Rio Crespo","RO",-9.5564,-62.9506,60,"Telemetria",1
"15459090","Candéias do Jamari","RO",-8.7469,-63.4636,60,"Telemetria",2
"15490000","Porto Velho","RO",-8.4522,-63.5178,15,"Telemetria",3
"15490400","Porto Velho","RO",-8.4444,-63.5081,15,"Telemetria",2
"15550000","Candéias do Jamari","RO",-8.7986,-63.7106,15,"Telemetria",3
"15552560","Pimenta Bueno","RO",-12.1853,-60.5997,60,"Telemetria",3
"15552600","Pimenta Bueno","RO",-11.7489,-60.8678,15,"Telemetria",1
"15552800","Vilhena","RO",-12.8539,-60.3292,60,"Telemetria",2
"15553100","Chupinguaia","RO",-12.7561,-60.8083,60,"Telemetria",1
"15553180","Chupinguaia","RO",-12.69,-60.8831,60,"Telemetria",2
"15553800","Primavera de Rondônia","RO",-12.2678,-61.0756,60,"Telemetria",6
"15553950","Chupinguaia","RO",-12.2594,-61.1889,60,"Telemetria",3
"15555300","Primavera de Rondônia","RO",-11.9475,-61.22,60,"Telemetria",1
"15555800","Primavera de Rondônia","RO",-11.9025,-61.2397,60,"Telemetria",3
"15558000","Pimenta Bueno","RO",-11.6836,-61.1922,15,"Telemetria",1
"15558200","Cacoal","RO",-11.4444,-61.4408,15,"Telemetria",3
"15559000","Pimenta Bueno","RO",-11.6525,-61.215,15,"Telemetria",4
"15560000","Ji-paraná","RO",-10.8736,-61.9356,15,"Telemetria",2
"15564000","Jaru","RO",-10.8317,-62.8925,15,"Telemetria",5
"15580000","Machadinho D''oeste","RO",-8.9322,-62.0556,15,"Telemetria",1
"15629000","Humaitá","AM",-7.5053,-63.0211,15,"Telemetria",4
"15630000","Humaitá","AM",-7.5028,-63.0183,15,"Telemetria",1
"15660000","Humaitá","AM",-7.6303,-62.6553,15,"Telemetria",1
"15700000","Manicoré","AM",-5.8167,-61.3019,15,"Telemetria",3
"15710000","Juína","MT",-11.5778,-59.2058,60,"Telemetria",2
"15720000","Juína","MT",-11.4131,-59.1703,60,"Telemetria",2
"15740000","Juína","MT",-11.3097,-59.2236,60,"Telemetria",1
"15748000","Aripuanã","MT",-10.3219,-59.4622,60,"Telemetria",4
"15750500","Aripuanã","MT",-10.1831,-59.4719,30,"Telemetria",2
"15753900","Aripuanã","MT",-10.1986,-59.4686,60,"Telemetria",1
"15754000","Aripuanã","MT",-10.1647,-59.4467,60,"Telemetria",1
"15860000","Novo Aripuanã","AM",-4.8972,-60.0253,15,"Telemetria",1
"15910000","Apuí","AM",-6.7956,-59.0422,15,"Telemetria",3
"160030303A","Macapá","AP",0.087727,-51.040434999999995,10,"CEMADEN",2
"160030304A","Macapá","AP",-0.002212,-51.100888,10,"CEMADEN",3
"160030305A","Macapá","AP",0.092692,-51.065402,10,"CEMADEN",3
"160060002A","Santana","AP",-0.049122,-51.144532,10,"CEMADEN",3
"160060003A","Santana","AP",-0.041263,-51.179238,10,"CEMADEN",2
"16018000","Presidente Figueiredo","AM",-0.585,-59.7761,60,"Telemetria",2
"16019000","Presidente Figueiredo","AM",-0.5956,-59.7772,60,"Telemetria",3
"16020100","Presidente Figueiredo","AM",-0.8661,-59.6011,60,"Telemetria",1
"16020200","Presidente Figueiredo","AM",-0.9911,-59.4797,60,"Telemetria",1
"16030000","Itacoatiara","AM",-3.1539,-58.4114,15,"Telemetria",3
"16062000","Presidente Figueiredo","AM",-1.2106,-60.2347,60,"Telemetria",1
"16090000","Presidente Figueiredo","AM",-1.9494,-59.4767,60,"Telemetria",1
"16100000","Presidente Figueiredo","AM",-2.1061,-59.3442,15,"Telemetria",3
"16129000","Caroebe","RR",1.0053,-59.2539,60,"Telemetria",1
"16430000","Oriximiná","PA",-0.9978,-57.0431,15,"Telemetria",2
"16500000","Oriximiná","PA",-1.1006,-57.0569,15,"Telemetria",3
