"gauge_code","estado","n_anos_aceitos","na_mediano_pct","na_max_pct"
"330010011A","RJ",1,1.9710806697108068,1.9710806697108068
"330010012A","RJ",4,1.9530060882800613,6.147540983606557
"330010013A","RJ",3,4.712709284627093,7.650304414003044
"330010014A","RJ",3,0.6451123254401943,2.941400304414003
"330010015A","RJ",4,2.6008371385083713,6.200532724505328
"330010016A","RJ",1,3.955479452054794,3.955479452054794
"330010017A","RJ",5,1.5900121432908316,5.450913242009133
"330010018A","RJ",1,0.011384335154826957,0.011384335154826957
"330010019A","RJ",3,5.083713850837138,5.633348512446873
"330010020A","RJ",2,0.6040715372907154,1.187214611872146
"330010021A","RJ",3,8.114535768645357,8.587583485124469
"330010022A","RJ",3,1.8759512937595129,7.612325440194293
"330010023A","RJ",1,0.020928462709284626,0.020928462709284626
"330010024A","RJ",3,0.9950532724505327,4.535768645357686
"330010025A","RJ",2,5.533306717901373,8.602762598664238
"330010026A","RJ",2,2.5266362252663623,5.03234398782344
"330010027A","RJ",1,2.106164383561644,2.106164383561644
"330010028A","RJ",1,5.273972602739726,5.273972602739726
"330010029A","RJ",5,5.297510625379478,12.492389649923897
"330015901A","RJ",4,2.3982115677321154,10.484972677595628
"330020902A","RJ",2,2.291666666666667,3.3333333333333335
"330020903A","RJ",1,5.062785388127853,5.062785388127853
"330020904A","RJ",4,1.9554363059443902,4.122907153729072
"330022503A","RJ",1,0.020928462709284626,0.020928462709284626
"330030801A","RJ",2,4.026187089852034,6.716757741347905
"330030803A","RJ",6,1.4331032554000216,7.8570886460230724
"330040705A","RJ",1,9.538175470552519,9.538175470552519
"330040706A","RJ",6,4.963850837138509,9.519201578627808
"330045603A","RJ",2,7.63603500761035,10.340563165905632
"330045604A","RJ",4,0.7328132927447997,1.938736681887367
"330045606A","RJ",2,7.082382039573821,7.311643835616438
"330060501A","RJ",2,8.89743493774484,11.816939890710383
"330070404A","RJ",3,2.969939117199391,10.374924104432301
"330090201A","RJ",2,4.270357686453577,7.136605783866059
"330095102A","RJ",2,1.3974427352346732,2.783469945355191
"330100902A","RJ",3,5.78386605783866,8.644505160898603
"330100904A","RJ",3,5.625951293759513,8.627428658166362
"330100905A","RJ",3,2.5076103500761038,5.83523592085236
"330100906A","RJ",2,5.722983257229833,7.981354642313547
"330110801A","RJ",3,0.02087128111718276,0.5270167427701674
"330110805A","RJ",1,0.01141552511415525,0.01141552511415525
"330115701A","RJ",1,6.530813600485732,6.530813600485732
"330120702A","RJ",1,0.020928462709284626,0.020928462709284626
"330150402A","RJ",3,1.3242009132420092,9.486945962355799
"330150403A","RJ",3,4.78310502283105,5.361491628614917
"330160301A","RJ",2,0.016143403115669003,0.02087128111718276
"330160302A","RJ",1,0.671613394216134,0.671613394216134
"330180103A","RJ",1,6.7736794171220405,6.7736794171220405
"330185001A","RJ",2,7.809921630028861,11.25721007893139
"330185004A","RJ",1,0.020928462709284626,0.020928462709284626
"330185015H","RJ",1,0.9455859969558601,0.9455859969558601
"330190002A","RJ",2,1.2766362252663623,2.53234398782344
"330190003A","RJ",1,0.020928462709284626,0.020928462709284626
"330190005A","RJ",2,0.8076198110304331,1.5943683409436835
"330190007A","RJ",3,0.030358227079538558,1.5981735159817352
"330190008A","RJ",6,4.4901065449010655,9.536278081360049
"330200702A","RJ",2,1.1310882800608828,1.600076103500761
"330200703A","RJ",2,4.152397260273973,6.70662100456621
"330200704A","RJ",7,1.095890410958904,7.595248937462053
"330205601A","RJ",3,2.5380517503805176,10.469793564055859
"330210601A","RJ",3,10.295233758348513,18.59208523592085
"330220501A","RJ",6,2.5062094010696074,11.099726775956285
"330220502A","RJ",1,14.735124468731026,14.735124468731026
"330225403A","RJ",3,2.3687214611872145,10.22503035822708
"330227004A","RJ",2,2.637937595129376,4.328386605783866
"330227005A","RJ",1,3.158295281582953,3.158295281582953
"330230401A","RJ",2,5.346270928462709,6.923515981735159
"330240301A","RJ",3,8.208105646630237,10.500380517503805
"330240302A","RJ",2,9.861404816561453,10.214992389649924
"330245201A","RJ",1,0.426179604261796,0.426179604261796
"330250207A","RJ",1,0.020928462709284626,0.020928462709284626
"330260101A","RJ",4,1.6067351598173518,11.446948998178506
"330260102A","RJ",2,0.6750858763546839,0.9373102610807529
"330270001A","RJ",7,1.038812785388128,3.5083713850837137
"330270003A","RJ",1,0.020928462709284626,0.020928462709284626
"330270005A","RJ",1,1.5943683409436835,1.5943683409436835
"330285803A","RJ",2,0.6192922374429224,0.9018264840182649
"330300501A","RJ",1,13.970476624165148,13.970476624165148
"330320302A","RJ",3,0.9969558599695586,2.085235920852359
"330320303A","RJ",2,0.47389764287080705,0.5824984820886461
"330330208A","RJ",2,0.8121111651737073,1.6032938676381299
"330330209A","RJ",1,0.6145357686453576,0.6145357686453576
"330330212A","RJ",1,0.020928462709284626,0.020928462709284626
"330330214A","RJ",5,2.0110350076103503,4.91248097412481
"330340102A","RJ",1,0.5384322678843226,0.5384322678843226
"330340103A","RJ",2,3.403729071537291,3.4075342465753424
"330340106A","RJ",2,0.025643344894411592,0.030358227079538558
"330340107A","RJ",1,1.7903348554033485,1.7903348554033485
"330340109A","RJ",1,0.5289193302891934,0.5289193302891934
"330340110A","RJ",2,9.28133395297386,12.820658773527626
"330340114A","RJ",1,0.01141552511415525,0.01141552511415525
"330340116A","RJ",2,0.5469653209238882,1.0730593607305936
"330340117A","RJ",1,0.01141552511415525,0.01141552511415525
