"gauge_code","d","imax","date","wateryear","start_month","na_prct_yr","na_prct_mon","mon_filter","n_max","time_step_min","estado","lat","long","time_step","mes_inicio","mes_inicio_nome","network","classe_espacial","fonte_inicio","metodo_ano_hidro","f_moda","rbar_local","dist_nn_km"
"13405000",15,7.026666666666667,"2025-02-13 07:00:00",2025,7,0.5056221461187215,0.001488095238095238,"1,2,3,4,5,6,7,8,9,10,11,12",24,900,"AC",-9.1103,-68.9933,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,0.1
"13405000",15,6.293333333333333,"2025-12-26 06:15:00",2026,7,0.002717391304347826,0.0013440860215053765,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-9.1103,-68.9933,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,0.1
"13439000",15,8.679999999999998,"2023-03-23 23:15:00",2023,7,0.032055709023941066,0.09106182795698925,"1,2,3,4,5,6,7,8,9,10,11,12",6,900,"AC",-10.9261,-69.9233,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,39.75
"13439000",15,7.053333333333333,"2023-10-31 13:45:00",2024,7,0.0078125,0,"1,2,3,4,5,6,7,8,9,10,11,12",38,900,"AC",-10.9261,-69.9233,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,39.75
"13445000",15,5.746666666666667,"2025-01-06 08:15:00",2025,7,0.0029350828729281767,0.006720430107526882,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-10.9414,-69.5769,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.28
"13445000",15,5.6000000000000005,"2025-12-17 01:00:00",2026,7,0.0022644927536231885,0,"1,2,3,4,5,6,7,8,9,10,11,12",20,900,"AC",-10.9414,-69.5769,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.28
"13450000",15,6.306666666666669,"2014-03-23 05:45:00",2014,7,0.029696132596685083,0.03595430107526882,"1,2,3,4,5,6,7,8,9,10,11,12",2,900,"AC",-10.9436,-69.5656,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,0.1
"13450000",15,5.0133333333333345,"2014-12-03 05:30:00",2015,7,0.502939497716895,0.08030913978494623,"1,2,3,4,5,6,7,8,9,10,11,12",4,900,"AC",-10.9436,-69.5656,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,0.1
"13450000",15,4.36,"2016-04-11 11:15:00",2016,7,0.5055783242258652,0.015625,"1,2,3,4,5,6,7,8,9,10,11,12",36,900,"AC",-10.9436,-69.5656,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,0.1
"13450000",15,5.586666666666669,"2017-05-28 07:00:00",2017,7,6.278538812785388e-4,0,"1,2,3,4,5,6,7,8,9,10,11,12",26,900,"AC",-10.9436,-69.5656,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,0.1
"13450000",15,7.466666666666669,"2017-12-19 01:30:00",2018,7,0.001754981884057971,3.360215053763441e-4,"1,2,3,4,5,6,7,8,9,10,11,12",3,900,"AC",-10.9436,-69.5656,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,0.1
"13470000",15,5.746666666666666,"2016-02-06 11:00:00",2016,7,0.005780677655677656,0.020114942528735632,"1,2,3,4,5,6,7,8,9,10,11,12",43,900,"AC",-11.0178,-68.745,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.27
"13470000",15,7.30666666666667,"2016-12-14 23:30:00",2017,7,3.4246575342465754e-4,0,"1,2,3,4,5,6,7,8,9,10,11,12",22,900,"AC",-11.0178,-68.745,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.973,1.27
