"gauge_code","estado","lat","long","time_step","network","classe_espacial","mes_inicio","fonte_inicio","mes_moda","f_moda","rbar_local","dist_nn_km","nome","n_years_zip","responsible","mes_inicio_nome","metodo_ano_hidro"
"270430202A","AL",-9.581,-35.768,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,2.32,"Maceió",1,"CEMADEN","nov","uniplu_vizinhanca"
"270430203A","AL",-9.641,-35.735,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,9.84,"Maceió",6,"CEMADEN","nov","uniplu_vizinhanca"
"270430205A","AL",-9.587,-35.763000000000005,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,3.19,"Maceió",4,"CEMADEN","nov","uniplu_vizinhanca"
"270430207A","AL",-9.628603,-35.737905,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,8.52,"Maceió",7,"CEMADEN","nov","uniplu_vizinhanca"
"270430209A","AL",-9.696,-35.778,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,12.82,"Maceió",6,"CEMADEN","nov","uniplu_vizinhanca"
"270430210A","AL",-9.552,-35.727,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,4.77,"Maceió",9,"CEMADEN","nov","uniplu_vizinhanca"
"270430211A","AL",-9.529,-35.608,10,"CEMADEN","mancha",11,"moda_mancha",11,0.7,0.971,18.13,"Maceió",5,"CEMADEN","nov","uniplu_vizinhanca"
"270430212A","AL",-9.632,-35.707,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,11.15,"Maceió",3,"CEMADEN","nov","uniplu_vizinhanca"
"270430213A","AL",-9.573,-35.741,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,4.03,"Maceió",9,"CEMADEN","nov","uniplu_vizinhanca"
"270430214A","AL",-9.527999999999999,-35.623000000000005,10,"CEMADEN","mancha",11,"moda_mancha",11,0.7,0.971,16.5,"Maceió",3,"CEMADEN","nov","uniplu_vizinhanca"
"270430215A","AL",-9.56652,-35.79703,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,1.52,"Maceió",7,"CEMADEN","nov","uniplu_vizinhanca"
"270430216A","AL",-9.55,-35.761,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,1,"Maceió",5,"CEMADEN","nov","uniplu_vizinhanca"
"270430217A","AL",-9.6214,-35.748,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,7.23,"Maceió",7,"CEMADEN","nov","uniplu_vizinhanca"
"270430218A","AL",-9.66117,-35.75779,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,10.84,"Maceió",5,"CEMADEN","nov","uniplu_vizinhanca"
"270450001A","AL",-9.015,-35.223,10,"CEMADEN","mancha",11,"moda_mancha",11,0.7,0.971,1.16,"Maragogi",1,"CEMADEN","nov","uniplu_vizinhanca"
"270470801A","AL",-9.717,-35.894,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,0.26,"Marechal Deodoro",3,"CEMADEN","nov","uniplu_vizinhanca"
"270510101A","AL",-9.15748,-35.53084,10,"CEMADEN","mancha",11,"moda_mancha",11,0.5,0.966,1.87,"Matriz de Camaragibe",8,"CEMADEN","nov","uniplu_vizinhanca"
"270510101H","AL",-9.1596,-35.5391,10,"CEMADEN","mancha",11,"moda_mancha",11,0.5,0.966,2.61,"Matriz de Camaragibe",1,"CEMADEN","nov","uniplu_vizinhanca"
"270550701A","AL",-9.311,-35.946,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,0.5,"Murici",2,"CEMADEN","nov","uniplu_vizinhanca"
"270644801A","AL",-9.46292,-35.55892,10,"CEMADEN","mancha",11,"moda_mancha",11,0.7,0.971,14.42,"Paripueira",6,"CEMADEN","nov","uniplu_vizinhanca"
"270660401A","AL",-9.371,-36.372,10,"CEMADEN","mancha",11,"moda_mancha",11,0.7,0.961,8.86,"Paulo Jacinto",8,"CEMADEN","nov","uniplu_vizinhanca"
"270710701C","AL",-9.5922,-37.74188,10,"CEMADEN","mancha",8,"moda_mancha",8,0.6,0.799,3.07,"Piranhas",3,"CEMADEN","ago","uniplu_vizinhanca"
"270760201A","AL",-9.318,-36.471,10,"CEMADEN","mancha",11,"moda_mancha",11,0.4,0.835,1.77,"Quebrangulo",5,"CEMADEN","nov","uniplu_vizinhanca"
"270760203H","AL",-9.3197,-36.4733,10,"CEMADEN","mancha",11,"moda_mancha",11,0.4,0.835,1.94,"Quebrangulo",1,"CEMADEN","nov","uniplu_vizinhanca"
"270810501A","AL",-9.17,-36.217,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,0.32,"Santana do Mundaú",5,"CEMADEN","nov","uniplu_vizinhanca"
